Id invio;Matricola dispositivo;Data e ora rilevazione;Data e ora trasmissione;Ammontare delle vendite (totale in euro);Imponibile vendite (totale in euro);Imposta vendite (totale in euro);Periodo di inattivita' da;Periodo di inattivita' a
'2978067299';'96MBD070550';30/06/2025 21:56:10;30/06/2025 21:56:45;"000000000000,00";"000000000000,00";"000000000000,00";;
'2976182756';'96MBD070550';29/06/2025 22:51:20;29/06/2025 22:52:26;"000000000000,00";"000000000000,00";"000000000000,00";;
'2975280647';'96MBD070550';28/06/2025 22:05:00;28/06/2025 22:04:58;"000000000000,00";"000000000000,00";"000000000000,00";;
'2973816505';'96MBD070550';27/06/2025 21:59:41;27/06/2025 21:59:44;"000000000000,00";"000000000000,00";"000000000000,00";;
'2972180499';'96MBD070550';26/06/2025 22:03:43;26/06/2025 22:03:51;"000000000030,00";"000000000030,00";"000000000000,00";;
'2970558245';'96MBD070550';25/06/2025 22:14:34;25/06/2025 22:14:47;"000000000018,00";"000000000018,00";"000000000000,00";;
'2968920421';'96MBD070550';24/06/2025 22:30:24;24/06/2025 22:31:05;"000000000000,00";"000000000000,00";"000000000000,00";;
'2967146276';'96MBD070550';23/06/2025 21:51:45;23/06/2025 21:52:33;"000000000030,00";"000000000030,00";"000000000000,00";;
'2965231560';'96MBD070550';22/06/2025 21:57:58;22/06/2025 21:58:52;"000000000000,00";"000000000000,00";"000000000000,00";;
'2964381416';'96MBD070550';21/06/2025 21:57:51;21/06/2025 21:57:45;"000000000000,00";"000000000000,00";"000000000000,00";;
'2962927935';'96MBD070550';20/06/2025 22:03:22;20/06/2025 22:03:22;"000000000032,00";"000000000032,00";"000000000000,00";;
'2961447267';'96MBD070550';19/06/2025 23:53:05;19/06/2025 23:53:10;"000000000030,00";"000000000030,00";"000000000000,00";;
'2959638461';'96MBD070550';18/06/2025 21:52:01;18/06/2025 21:52:11;"000000000025,00";"000000000025,00";"000000000000,00";;
'2958022283';'96MBD070550';17/06/2025 22:05:34;17/06/2025 22:05:49;"000000000000,00";"000000000000,00";"000000000000,00";;
'2956260754';'96MBD070550';16/06/2025 21:58:07;16/06/2025 21:59:07;"000000000000,00";"000000000000,00";"000000000000,00";;
'2954345499';'96MBD070550';15/06/2025 22:05:47;15/06/2025 22:05:52;"000000000000,00";"000000000000,00";"000000000000,00";;
'2953490577';'96MBD070550';14/06/2025 22:02:16;14/06/2025 22:02:25;"000000000000,00";"000000000000,00";"000000000000,00";;
'2952021716';'96MBD070550';13/06/2025 21:56:37;13/06/2025 21:56:53;"000000000000,00";"000000000000,00";"000000000000,00";;
'2950404916';'96MBD070550';12/06/2025 22:08:46;12/06/2025 22:09:07;"000000000060,00";"000000000060,00";"000000000000,00";;
'2948747414';'96MBD070550';11/06/2025 21:54:14;11/06/2025 21:54:40;"000000000000,00";"000000000000,00";"000000000000,00";;
'2947116604';'96MBD070550';10/06/2025 22:01:52;10/06/2025 22:02:23;"000000000035,00";"000000000035,00";"000000000000,00";;
'2945346660';'96MBD070550';09/06/2025 21:56:34;09/06/2025 21:57:23;"000000000060,00";"000000000060,00";"000000000000,00";;
'2943457275';'96MBD070550';08/06/2025 22:11:49;08/06/2025 22:11:41;"000000000018,00";"000000000018,00";"000000000000,00";;
'2942537271';'96MBD070550';07/06/2025 21:17:04;07/06/2025 21:17:01;"000000000000,00";"000000000000,00";"000000000000,00";06/06/2025 00:00:00;06/06/2025 23:59:59
'2939481994';'96MBD070550';05/06/2025 21:47:53;05/06/2025 21:48:01;"000000000031,20";"000000000031,20";"000000000000,00";;
'2936196956';'96MBD070550';03/06/2025 22:11:32;03/06/2025 22:11:51;"000000000095,00";"000000000095,00";"000000000000,00";;
'2934826102';'96MBD070550';03/06/2025 10:02:12;03/06/2025 10:02:34;"000000000000,00";"000000000000,00";"000000000000,00";02/06/2025 00:00:00;02/06/2025 23:59:59
'2933092630';'96MBD070550';01/06/2025 22:01:48;01/06/2025 22:02:18;"000000000075,00";"000000000075,00";"000000000000,00";;
