Id invio;Matricola dispositivo;Data e ora rilevazione;Data e ora trasmissione;Ammontare delle vendite (totale in euro);Imponibile vendite (totale in euro);Imposta vendite (totale in euro);Periodo di inattivita' da;Periodo di inattivita' a
'2932237962';'96MBD070550';31/05/2025 21:55:17;31/05/2025 21:56:21;"000000000030,00";"000000000030,00";"000000000000,00";;
'2930761584';'96MBD070550';30/05/2025 21:53:07;30/05/2025 21:52:56;"000000000000,00";"000000000000,00";"000000000000,00";;
'2929245732';'96MBD070550';29/05/2025 23:45:36;29/05/2025 23:45:30;"000000000090,00";"000000000090,00";"000000000000,00";;
'2927472255';'96MBD070550';28/05/2025 21:42:45;28/05/2025 21:42:45;"000000000000,00";"000000000000,00";"000000000000,00";;
'2925884202';'96MBD070550';27/05/2025 22:13:14;27/05/2025 22:13:20;"000000000000,00";"000000000000,00";"000000000000,00";;
'2924125933';'96MBD070550';26/05/2025 22:07:07;26/05/2025 22:07:19;"000000000030,00";"000000000030,00";"000000000000,00";;
'2922250715';'96MBD070550';25/05/2025 22:50:58;25/05/2025 22:51:14;"000000000030,00";"000000000030,00";"000000000000,00";;
'2921299477';'96MBD070550';24/05/2025 21:51:38;24/05/2025 21:52:09;"000000000000,00";"000000000000,00";"000000000000,00";;
'2920029546';'96MBD070550';23/05/2025 23:41:46;23/05/2025 23:42:21;"000000000060,00";"000000000060,00";"000000000000,00";;
'2918232861';'96MBD070550';22/05/2025 21:45:57;22/05/2025 21:46:39;"000000000000,00";"000000000000,00";"000000000000,00";;
'2916622039';'96MBD070550';21/05/2025 22:02:46;21/05/2025 22:03:33;"000000000000,00";"000000000000,00";"000000000000,00";;
'2915009959';'96MBD070550';20/05/2025 22:06:42;20/05/2025 22:07:39;"000000000000,00";"000000000000,00";"000000000000,00";;
'2913353727';'96MBD070550';19/05/2025 23:31:57;19/05/2025 23:32:58;"000000000000,00";"000000000000,00";"000000000000,00";;
'2911424756';'96MBD070550';18/05/2025 22:56:47;18/05/2025 22:56:54;"000000000030,00";"000000000030,00";"000000000000,00";;
'2910537254';'96MBD070550';17/05/2025 22:12:39;17/05/2025 22:12:50;"000000000000,20";"000000000000,20";"000000000000,00";;
'2909074145';'96MBD070550';16/05/2025 22:00:49;16/05/2025 22:01:07;"000000000000,00";"000000000000,00";"000000000000,00";;
'2907462812';'96MBD070550';15/05/2025 22:00:31;15/05/2025 22:00:53;"000000000000,00";"000000000000,00";"000000000000,00";;
'2905947525';'96MBD070550';14/05/2025 23:15:07;14/05/2025 23:15:35;"000000000000,00";"000000000000,00";"000000000000,00";;
'2904367207';'96MBD070550';13/05/2025 23:51:15;13/05/2025 23:51:48;"000000000000,00";"000000000000,00";"000000000000,00";;
'2902499803';'96MBD070550';12/05/2025 21:52:40;12/05/2025 21:53:26;"000000000025,00";"000000000025,00";"000000000000,00";;
'2900611702';'96MBD070550';11/05/2025 21:59:22;11/05/2025 22:00:13;"000000000000,00";"000000000000,00";"000000000000,00";;
'2899759741';'96MBD070550';10/05/2025 21:55:41;10/05/2025 21:56:43;"000000000000,00";"000000000000,00";"000000000000,00";;
'2898404260';'96MBD070550';09/05/2025 23:09:51;09/05/2025 23:09:53;"000000000020,00";"000000000020,00";"000000000000,00";;
'2896819194';'96MBD070550';08/05/2025 23:33:10;08/05/2025 23:33:18;"000000000000,00";"000000000000,00";"000000000000,00";;
'2895100652';'96MBD070550';07/05/2025 22:01:06;07/05/2025 22:01:20;"000000000000,00";"000000000000,00";"000000000000,00";;
'2893584446';'96MBD070550';06/05/2025 23:35:56;06/05/2025 23:36:15;"000000000000,00";"000000000000,00";"000000000000,00";;
'2891716516';'96MBD070550';05/05/2025 21:22:21;05/05/2025 21:23:10;"000000000000,00";"000000000000,00";"000000000000,00";;
'2889869151';'96MBD070550';04/05/2025 22:00:51;04/05/2025 22:01:45;"000000000010,00";"000000000010,00";"000000000000,00";;
'2889405467';'96MBD070550';04/05/2025 12:01:35;04/05/2025 12:02:42;"000000000000,00";"000000000000,00";"000000000000,00";;
'2889023142';'96MBD070550';03/05/2025 22:04:05;03/05/2025 22:03:56;"000000000000,00";"000000000000,00";"000000000000,00";;
'2887565341';'96MBD070550';02/05/2025 21:44:36;02/05/2025 21:44:33;"000000000000,00";"000000000000,00";"000000000000,00";;
'2885492200';'96MBD070550';01/05/2025 22:03:09;01/05/2025 22:03:12;"000000000000,00";"000000000000,00";"000000000000,00";;
'2884690694';'96MBD070550';30/04/2025 22:04:05;30/04/2025 22:04:13;"000000000003,00";"000000000003,00";"000000000000,00";;
'2883049973';'96MBD070550';29/04/2025 22:01:47;29/04/2025 22:02:01;"000000000000,00";"000000000000,00";"000000000000,00";;
'2881324178';'96MBD070550';28/04/2025 22:19:40;28/04/2025 22:19:59;"000000000000,00";"000000000000,00";"000000000000,00";;
'2879365527';'96MBD070550';27/04/2025 21:25:14;27/04/2025 21:25:38;"000000000000,00";"000000000000,00";"000000000000,00";;
'2878549936';'96MBD070550';26/04/2025 21:38:36;26/04/2025 21:39:16;"000000000018,00";"000000000018,00";"000000000000,00";;
'2876897443';'96MBD070550';25/04/2025 21:57:09;25/04/2025 21:57:54;"000000000000,00";"000000000000,00";"000000000000,00";;
'2876026667';'96MBD070550';24/04/2025 21:52:40;24/04/2025 21:53:37;"000000000000,00";"000000000000,00";"000000000000,00";;
'2874441148';'96MBD070550';23/04/2025 22:05:56;23/04/2025 22:05:48;"000000000000,00";"000000000000,00";"000000000000,00";;
'2872352736';'96MBD070550';22/04/2025 19:45:31;22/04/2025 19:45:30;"000000000000,00";"000000000000,00";"000000000000,00";;
'2870744226';'96MBD070550';21/04/2025 23:41:05;21/04/2025 23:41:08;"000000000000,80";"000000000000,80";"000000000000,00";;
'2870465316';'96MBD070550';21/04/2025 18:52:12;21/04/2025 18:52:16;"000000000000,00";"000000000000,00";"000000000000,00";;
'2869840152';'96MBD070550';20/04/2025 21:32:53;20/04/2025 21:33:02;"000000000000,00";"000000000000,00";"000000000000,00";;
'2869173103';'96MBD070550';19/04/2025 21:40:39;19/04/2025 21:40:54;"000000000000,00";"000000000000,00";"000000000000,00";;
'2867791870';'96MBD070550';18/04/2025 21:45:01;18/04/2025 21:46:06;"000000000000,00";"000000000000,00";"000000000000,00";;
'2866171190';'96MBD070550';17/04/2025 21:18:52;17/04/2025 21:18:57;"000000000000,00";"000000000000,00";"000000000000,00";;
'2864693235';'96MBD070550';16/04/2025 22:31:16;16/04/2025 22:31:26;"000000000005,00";"000000000005,00";"000000000000,00";;
'2863045434';'96MBD070550';15/04/2025 21:49:08;15/04/2025 21:50:02;"000000000000,00";"000000000000,00";"000000000000,00";;
'2861207560';'96MBD070550';14/04/2025 20:43:50;14/04/2025 20:43:45;"000000000000,00";"000000000000,00";"000000000000,00";;
'2859405444';'96MBD070550';13/04/2025 21:28:00;13/04/2025 21:28:01;"000000000000,00";"000000000000,00";"000000000000,00";;
'2858579444';'96MBD070550';12/04/2025 21:25:02;12/04/2025 21:25:08;"000000000002,60";"000000000002,60";"000000000000,00";;
'2857157100';'96MBD070550';11/04/2025 21:32:06;11/04/2025 21:32:18;"000000000000,00";"000000000000,00";"000000000000,00";;
'2855553127';'96MBD070550';10/04/2025 21:23:27;10/04/2025 21:24:03;"000000000000,00";"000000000000,00";"000000000000,00";;
'2853955574';'96MBD070550';09/04/2025 21:14:56;09/04/2025 21:15:37;"000000000005,00";"000000000005,00";"000000000000,00";;
'2852369942';'96MBD070550';08/04/2025 21:12:42;08/04/2025 21:13:33;"000000000000,00";"000000000000,00";"000000000000,00";;
'2850672283';'96MBD070550';07/04/2025 21:21:06;07/04/2025 21:20:41;"000000000000,00";"000000000000,00";"000000000000,00";;
'2848883461';'96MBD070550';06/04/2025 22:28:38;06/04/2025 22:28:18;"000000000015,00";"000000000015,00";"000000000000,00";;
'2847998412';'96MBD070550';05/04/2025 21:23:41;05/04/2025 21:23:26;"000000000000,00";"000000000000,00";"000000000000,00";;
'2846576758';'96MBD070550';04/04/2025 21:23:10;04/04/2025 21:23:01;"000000000000,00";"000000000000,00";"000000000000,00";;
'2844985718';'96MBD070550';03/04/2025 21:24:11;03/04/2025 21:24:08;"000000000000,00";"000000000000,00";"000000000000,00";;
'2843399028';'96MBD070550';02/04/2025 21:17:15;02/04/2025 21:17:17;"000000000000,00";"000000000000,00";"000000000000,00";;
'2841812059';'96MBD070550';01/04/2025 21:11:39;01/04/2025 21:11:47;"000000000000,00";"000000000000,00";"000000000000,00";30/03/2025 00:00:00;31/03/2025 23:59:59
