Id invio;Matricola dispositivo;Data e ora rilevazione;Data e ora trasmissione;Ammontare delle vendite (totale in euro);Imponibile vendite (totale in euro);Imposta vendite (totale in euro);Periodo di inattivita' da;Periodo di inattivita' a
'2773577968';'96MBD070550';14/02/2025 20:58:11;14/02/2025 20:58:07;"000000000000,00";"000000000000,00";"000000000000,00";;
'2771768270';'96MBD070550';13/02/2025 19:55:29;13/02/2025 19:55:30;"000000000000,00";"000000000000,00";"000000000000,00";;
'2770507152';'96MBD070550';12/02/2025 21:07:19;12/02/2025 21:07:26;"000000000000,00";"000000000000,00";"000000000000,00";;
'2769055664';'96MBD070550';11/02/2025 22:27:29;11/02/2025 22:27:41;"000000000000,00";"000000000000,00";"000000000000,00";;
'2767316916';'96MBD070550';10/02/2025 21:20:46;10/02/2025 21:21:04;"000000000000,60";"000000000000,60";"000000000000,00";;
'2765467068';'96MBD070550';09/02/2025 21:00:40;09/02/2025 21:01:09;"000000000000,00";"000000000000,00";"000000000000,00";;
'2764688953';'96MBD070550';08/02/2025 20:57:29;08/02/2025 20:58:20;"000000000000,00";"000000000000,00";"000000000000,00";;
'2763416060';'96MBD070550';07/02/2025 22:27:37;07/02/2025 22:28:42;"000000000005,00";"000000000005,00";"000000000000,00";;
'2761762943';'96MBD070550';06/02/2025 21:01:50;06/02/2025 21:01:57;"000000000000,00";"000000000000,00";"000000000000,00";;
'2760246636';'96MBD070550';05/02/2025 21:15:03;05/02/2025 21:15:14;"000000000000,00";"000000000000,00";"000000000000,00";;
'2758724586';'96MBD070550';04/02/2025 21:27:15;04/02/2025 21:27:31;"000000000000,00";"000000000000,00";"000000000000,00";03/02/2025 00:00:00;03/02/2025 23:59:59
'2755247380';'96MBD070550';02/02/2025 21:29:04;02/02/2025 21:29:31;"000000000000,00";"000000000000,00";"000000000000,00";;
'2754416573';'96MBD070550';01/02/2025 20:46:18;01/02/2025 20:46:50;"000000000001,00";"000000000001,00";"000000000000,00";;
'2753085250';'96MBD070550';31/01/2025 21:11:36;31/01/2025 21:12:24;"000000000000,00";"000000000000,00";"000000000000,00";;
'2751473884';'96MBD070550';30/01/2025 20:50:06;30/01/2025 20:49:39;"000000000001,40";"000000000001,40";"000000000000,00";;
'2749976871';'96MBD070550';29/01/2025 21:07:33;29/01/2025 21:07:11;"000000000019,00";"000000000019,00";"000000000000,00";;
