Id invio;Matricola dispositivo;Data e ora rilevazione;Data e ora trasmissione;Ammontare delle vendite (totale in euro);Imponibile vendite (totale in euro);Imposta vendite (totale in euro);Periodo di inattivita' da;Periodo di inattivita' a
'3178856915';'96MBD070550';12/11/2025 21:15:20;12/11/2025 21:15:24;"000000000004,20";"000000000004,20";"000000000000,00";;
'3177251449';'96MBD070550';11/11/2025 20:53:52;11/11/2025 20:54:01;"000000000000,00";"000000000000,00";"000000000000,00";;
'3175573232';'96MBD070550';10/11/2025 20:55:15;10/11/2025 20:55:30;"000000000000,00";"000000000000,00";"000000000000,00";;
'3173740224';'96MBD070550';09/11/2025 20:51:55;09/11/2025 20:52:15;"000000000005,00";"000000000005,00";"000000000000,00";;
'3172900873';'96MBD070550';08/11/2025 20:42:14;08/11/2025 20:42:39;"000000000000,00";"000000000000,00";"000000000000,00";;
'3171524507';'96MBD070550';07/11/2025 20:55:17;07/11/2025 20:55:48;"000000000000,00";"000000000000,00";"000000000000,00";;
'3170481480';'96MBD070550';07/11/2025 11:27:14;07/11/2025 11:27:50;"000000000005,00";"000000000005,00";"000000000000,00";;
'3170481278';'96MBD070550';07/11/2025 11:26:56;07/11/2025 11:27:29;"000000000000,00";"000000000000,00";"000000000000,00";06/11/2025 00:00:00;06/11/2025 23:59:59
'3168380140';'96MBD070550';05/11/2025 20:49:08;05/11/2025 20:49:50;"000000000000,00";"000000000000,00";"000000000000,00";;
'3166815907';'96MBD070550';04/11/2025 20:50:31;04/11/2025 20:51:34;"000000000030,00";"000000000030,00";"000000000000,00";;
'3165149292';'96MBD070550';03/11/2025 21:00:52;03/11/2025 21:00:54;"000000000000,00";"000000000000,00";"000000000000,00";;
'3163333529';'96MBD070550';02/11/2025 21:16:05;02/11/2025 21:16:12;"000000000000,00";"000000000000,00";"000000000000,00";;
'3162471361';'96MBD070550';01/11/2025 20:53:30;01/11/2025 20:53:43;"000000000000,00";"000000000000,00";"000000000000,00";;
'3161596914';'96MBD070550';31/10/2025 22:23:35;31/10/2025 22:23:53;"000000000000,00";"000000000000,00";"000000000000,00";;
'3159888574';'96MBD070550';30/10/2025 21:03:32;30/10/2025 21:03:56;"000000000018,00";"000000000018,00";"000000000000,00";;
'3158284160';'96MBD070550';29/10/2025 20:56:46;29/10/2025 20:57:16;"000000000000,00";"000000000000,00";"000000000000,00";;
'3156673126';'96MBD070550';28/10/2025 20:48:13;28/10/2025 20:48:48;"000000000000,00";"000000000000,00";"000000000000,00";;
'3154974067';'96MBD070550';27/10/2025 20:57:15;27/10/2025 20:57:56;"000000000000,00";"000000000000,00";"000000000000,00";;
'3153076391';'96MBD070550';26/10/2025 20:42:02;26/10/2025 20:42:49;"000000000017,00";"000000000017,00";"000000000000,00";;
'3152268939';'96MBD070550';25/10/2025 21:09:42;25/10/2025 21:10:37;"000000000000,00";"000000000000,00";"000000000000,00";;
'3150857841';'96MBD070550';24/10/2025 21:19:52;24/10/2025 21:20:53;"000000000015,00";"000000000015,00";"000000000000,00";;
'3149352533';'96MBD070550';23/10/2025 22:33:48;23/10/2025 22:34:54;"000000000000,00";"000000000000,00";"000000000000,00";;
'3147734294';'96MBD070550';22/10/2025 22:03:06;22/10/2025 22:02:57;"000000000000,60";"000000000000,60";"000000000000,00";;
'3146224740';'96MBD070550';21/10/2025 23:05:42;21/10/2025 23:05:39;"000000000000,50";"000000000000,50";"000000000000,00";;
'3144530205';'96MBD070550';20/10/2025 23:23:28;20/10/2025 23:23:30;"000000000020,00";"000000000020,00";"000000000000,00";;
'3142560498';'96MBD070550';19/10/2025 21:32:04;19/10/2025 21:32:12;"000000000007,00";"000000000007,00";"000000000000,00";;
'3141691835';'96MBD070550';18/10/2025 21:17:10;18/10/2025 21:17:24;"000000000005,00";"000000000005,00";"000000000000,00";;
'3140537583';'96MBD070550';17/10/2025 21:18:51;18/10/2025 05:19:53;"000000000000,00";"000000000000,00";"000000000000,00";;
'3138693501';'96MBD070550';16/10/2025 21:33:22;16/10/2025 21:33:46;"000000000000,00";"000000000000,00";"000000000000,00";;
'3137102505';'96MBD070550';15/10/2025 21:24:02;15/10/2025 21:24:32;"000000000006,80";"000000000006,80";"000000000000,00";;
'3135530806';'96MBD070550';14/10/2025 21:34:15;14/10/2025 21:35:21;"000000000000,00";"000000000000,00";"000000000000,00";;
'3133894851';'96MBD070550';13/10/2025 22:54:21;13/10/2025 22:53:58;"000000000000,00";"000000000000,00";"000000000000,00";12/10/2025 00:00:00;12/10/2025 23:59:59
'3131186271';'96MBD070550';11/10/2025 22:49:23;11/10/2025 22:49:12;"000000000000,00";"000000000000,00";"000000000000,00";;
'3129661203';'96MBD070550';10/10/2025 21:23:38;10/10/2025 21:23:32;"000000000000,00";"000000000000,00";"000000000000,00";;
'3128048735';'96MBD070550';09/10/2025 21:16:21;09/10/2025 21:16:21;"000000000000,00";"000000000000,00";"000000000000,00";;
'3126603200';'96MBD070550';08/10/2025 23:32:19;08/10/2025 23:32:23;"000000000000,00";"000000000000,00";"000000000000,00";;
'3124944919';'96MBD070550';07/10/2025 23:01:23;07/10/2025 23:01:34;"000000000010,00";"000000000010,00";"000000000000,00";;
'3122824238';'96MBD070550';06/10/2025 21:01:18;06/10/2025 21:01:34;"000000000001,20";"000000000001,20";"000000000000,00";;
'3121061256';'96MBD070550';05/10/2025 21:36:44;05/10/2025 21:37:08;"000000000000,00";"000000000000,00";"000000000000,00";;
'3120214123';'96MBD070550';04/10/2025 21:22:58;04/10/2025 21:23:27;"000000000000,20";"000000000000,20";"000000000000,00";;
'3118752164';'96MBD070550';03/10/2025 21:15:53;03/10/2025 21:16:28;"000000000005,00";"000000000005,00";"000000000000,00";;
'3117096809';'96MBD070550';02/10/2025 20:23:04;02/10/2025 20:23:45;"000000000005,00";"000000000005,00";"000000000000,00";;
'3115973111';'96MBD070550';01/10/2025 23:05:04;01/10/2025 23:05:49;"000000000000,00";"000000000000,00";"000000000000,00";;
